datetime,open,high,low,close,volume
2025-11-17 14:12:00,666.32001,666.72998,666.22998,666.26501,283347
2025-11-17 14:11:00,666.21997,666.42999,666.11499,666.33502,179538
2025-11-17 14:10:00,666.40002,666.47998,665.97998,666.21002,222534
2025-11-17 14:09:00,666.42999,666.62000,666.25,666.40997,224754
2025-11-17 14:08:00,666.13000,666.60999,666.10999,666.45001,271289
2025-11-17 14:07:00,666.15002,666.15997,665.91998,666.14001,195357
2025-11-17 14:06:00,665.89001,666.29999,665.84003,666.15002,277133
2025-11-17 14:05:00,666.15503,666.15503,665.77002,665.90997,266710
2025-11-17 14:04:00,665.73999,666.22998,665.59998,666.15997,349625
2025-11-17 14:03:00,666.20001,666.21002,665.63000,665.74402,267619
2025-11-17 14:02:00,666.67999,666.71002,666.049988,666.22498,249787
2025-11-17 14:01:00,666.72998,666.90002,666.57001,666.67999,250096
2025-11-17 14:00:00,666.57001,666.78003,666.41498,666.72498,225018
2025-11-17 13:59:00,666.65997,666.82001,666.5,666.56000,185248
2025-11-17 13:58:00,667.14001,667.14001,666.5,666.65997,378291
2025-11-17 13:57:00,667.39001,667.69000,667.099976,667.13501,187890
2025-11-17 13:56:00,667.43683,667.5,667.19971,667.39001,223986
2025-11-17 13:55:00,668.14001,668.14001,667.28998,667.42999,338871
2025-11-17 13:54:00,668.54498,668.54999,668.10498,668.13483,91316
2025-11-17 13:53:00,668.38000,668.59003,668.37000,668.54999,92836
2025-11-17 13:52:00,668.65997,668.72998,668.26001,668.38989,114304
2025-11-17 13:51:00,669.21002,669.23499,668.51001,668.65002,148354
2025-11-17 13:50:00,669.12000,669.49500,669.12000,669.21997,118726
2025-11-17 13:49:00,669.72998,669.72998,669.080017,669.12000,141280
2025-11-17 13:48:00,669.67999,669.90997,669.65503,669.71997,172346
2025-11-17 13:47:00,669.46002,669.79999,669.40002,669.69000,173870
2025-11-17 13:46:00,669.070007,669.53998,668.89001,669.46002,222557
2025-11-17 13:45:00,668.81000,669.090027,668.78998,669.089905,115900
2025-11-17 13:44:00,668.5,668.89001,668.5,668.83002,90231
2025-11-17 13:43:00,668.67999,668.69000,668.34003,668.46997,122474
2025-11-17 13:42:00,668.27002,668.72998,668.27002,668.69000,97347
2025-11-17 13:41:00,668.19000,668.32001,668.044983,668.27002,87579
2025-11-17 13:40:00,668.44000,668.5,668.15997,668.18500,77369
2025-11-17 13:39:00,668.65002,668.65002,668.31000,668.42999,78588
2025-11-17 13:38:00,668.44000,668.73999,668.44000,668.65997,113647
2025-11-17 13:37:00,668.40997,668.62000,668.32001,668.42999,87221
2025-11-17 13:36:00,668.34003,668.53497,668.19000,668.40997,86069
2025-11-17 13:35:00,668.39001,668.46002,668.21997,668.34998,82634
2025-11-17 13:34:00,668.47998,668.53998,668.34998,668.40002,123081
2025-11-17 13:33:00,668.5,668.57001,668.28998,668.46002,57100
2025-11-17 13:32:00,668.34998,668.57001,668.23999,668.51001,135299
2025-11-17 13:31:00,668.46002,668.46002,668.15002,668.34003,127903
2025-11-17 13:30:00,668.70001,668.73999,668.33002,668.47998,110578
2025-11-17 13:29:00,668.71997,668.90997,668.67999,668.71002,78029
2025-11-17 13:28:00,668.76001,668.76001,668.46002,668.71997,73438
2025-11-17 13:27:00,668.77002,668.91998,668.66498,668.78998,64365
2025-11-17 13:26:00,668.83002,668.84003,668.53998,668.77002,61231
2025-11-17 13:25:00,668.76001,669,668.76001,668.83002,53394
2025-11-17 13:24:00,668.76001,668.84998,668.67999,668.78003,64207
2025-11-17 13:23:00,668.92999,668.92999,668.60999,668.77002,95906
2025-11-17 13:22:00,669.33002,669.375,668.90997,668.92511,113949
